state,poll_grade,sample_size,voter_type,poll_weight,dem_cand,rep_cand,poll_duration,poll_methodology,days_before_election
South Dakota,C-,298.0,lv,1.083238,0.2558104,0.5240785,6.0,Online,8.0
Virginia,B,500.0,lv,1.0802479999999999,0.4662057,0.3966899,3.0,Phone,24.0
Louisiana,C,800.0,rv,1.0750030000000002,0.39164180000000004,0.4970118,4.0,Phone,24.0
Florida,C,507.0,lv,1.074889,0.46041270000000006,0.44632930000000004,3.0,Phone,20.0
Michigan,B,600.0,lv,1.065218,0.43160790000000004,0.34806909999999996,1.0,Phone,28.0
New Hampshire,B+,600.0,lv,1.063324,0.44904910000000003,0.36993840000000006,2.0,Phone,30.0
Pennsylvania,B,1029.0,lv,1.0550760000000001,0.418072,0.4520655,6.0,Online,8.0
Utah,A+,403.0,lv,1.053139,0.26526999999999995,0.3583587,2.0,Phone,27.0
Georgia,C-,627.0,lv,1.051558,0.4304168,0.4639197,3.0,Phone,21.0
Ohio,B,982.0,lv,1.045662,0.38291200000000003,0.4115366,6.0,Online,8.0
Vermont,B+,579.0,lv,1.042353,0.4669258,0.2203189,15.0,Phone,25.0
Oregon,B-,1248.0,rv,1.041587,0.4765305,0.4122481,0.0,Phone,35.0
New Jersey,B,916.0,lv,1.0385,0.4347656,0.3896691,6.0,Online,8.0
North Dakota,C-,279.0,lv,1.0365030000000002,0.2957225,0.5243293000000001,6.0,Online,8.0
Maryland,A+,706.0,lv,1.0221149999999999,0.6229572,0.28303809999999996,3.0,Phone,39.0
Wisconsin,B,816.0,lv,1.005699,0.46145,0.3448133,6.0,Online,8.0
Pennsylvania,B-,764.0,lv,1.004932,0.442585,0.4315947,5.0,Phone,30.0
New Hampshire,B,900.0,lv,1.0043600000000001,0.43247199999999997,0.3703497,2.0,Phone,20.0
Indiana,B,764.0,lv,0.9926478999999999,0.41407150000000004,0.3957668,6.0,Online,8.0
Indiana,A+,402.0,lv,0.9886040999999999,0.3964728,0.4714324000000001,2.0,Phone,26.0
North Carolina,B+,500.0,lv,0.9822879000000001,0.4469535,0.46175499999999997,2.0,Phone,27.0
Missouri,B,726.0,lv,0.9782809000000001,0.4226537,0.4390175,6.0,Online,8.0
North Carolina,B,725.0,lv,0.9779475000000001,0.3935207,0.46342659999999997,6.0,Online,8.0
Florida,A-,804.0,lv,0.9777708,0.4749677,0.45521029999999996,6.0,Online,12.0
Minnesota,B,688.0,lv,0.9719846,0.39703959999999994,0.3437432,6.0,Online,8.0
Wyoming,C-,251.0,lv,0.9637545,0.2058142,0.6140675999999999,6.0,Online,8.0
California,A-,712.0,lv,0.9623478000000001,0.6375703,0.2674597,6.0,Online,12.0
Michigan,B,677.0,lv,0.9610865,0.42439479999999996,0.4067858,6.0,Online,8.0
Virginia,B,661.0,lv,0.9550661,0.4367603,0.3960987,6.0,Online,8.0
Florida,B+,985.0,lv,0.9533309000000001,0.45160870000000003,0.4409677,1.0,Phone,26.0
Arizona,B,656.0,lv,0.9531405999999999,0.4282756,0.38664050000000005,6.0,Online,8.0
